Road Name,From Node,To Node,Baseline Flow,Status,Baseline TSTT (Hours),New TSTT (Hours),Change (Minutes),Braess Link?
M.H Del Pilar (Rev),Molo - 9,Molo - 4,0.0,Inactive,2661.0,2661.85,50.88,No
M.H Del Pilar,Molo - 9,Molo - 10,0.0,Inactive,2661.0,2661.85,50.88,No
Molo - Proper Connect,Molo - 10,Proper - 1,0.0,Inactive,2661.0,2661.85,50.88,No
M.H Del Pilar,Molo - 10,Molo - 7,0.0,Inactive,2661.0,2661.85,50.88,No
Gen Luna - Molo Connect,Proper - 1,Molo - 7,0.0,Inactive,2661.0,2661.85,50.88,No
Infante St 1,Proper - 1,Proper - 2,1205.1,Active,2661.0,2662.64,97.94,No
Gen Luna St 1,Proper - 1,Proper - 7,0.0,Inactive,2661.0,2661.85,50.88,No
Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,1818.4,Active,2661.0,2725.29,3856.89,No
Timawa St (Rev),Proper - 2,Molo - 5,0.0,Inactive,2661.0,2661.85,50.88,No
Infante St 1 (Rev),Proper - 2,Proper - 1,1205.1,Active,2661.0,2668.09,425.06,No
Infante St 2,Proper - 2,Proper - 3,1205.1,Active,2661.0,2662.64,97.94,No
Delgado St,Proper - 2,Proper - 10,0.0,Inactive,2661.0,2661.85,50.88,No
Infante St 2 (Rev),Proper - 3,Proper - 2,1205.1,Active,2661.0,2668.09,425.06,No
Infante St 3,Proper - 3,Proper - 4,1205.1,Active,2661.0,2662.64,97.94,No
Molo Blvd 2 (Rev),Proper - 4,Molo - 6,0.0,Inactive,2661.0,2661.85,50.88,No
Baluarte - Oton Blvd,Proper - 4,Proper - 5,3078.3,Active,2661.0,2732.75,4304.63,No
Rizal St 1,Proper - 5,Proper - 3,3078.3,Active,2661.0,2737.56,4593.55,No
Rizal St 2,Proper - 5,Proper - 6,0.0,Inactive,2661.0,2661.85,50.88,No
Rizal St 2 (Rev),Proper - 6,Proper - 5,0.0,Inactive,2661.0,2661.85,50.88,No
Rizal St 3,Proper - 6,Proper - 14,0.0,Inactive,2661.0,2661.85,50.88,No
Ledesma St,Proper - 6,Proper - 11,0.0,Inactive,2661.0,2661.85,50.88,No
Gen Luna St 1 (Rev),Proper - 7,Proper - 1,0.0,Inactive,2661.0,2661.85,50.88,No
Gen Luna St 2,Proper - 7,Proper - 8,0.0,Inactive,2661.0,2661.85,50.88,No
Bonifacio Drive,Proper - 7,lapaz - 10,0.0,Inactive,2661.0,2661.85,50.88,No
Gen Luna St 2 (Rev),Proper - 8,Proper - 7,0.0,Inactive,2661.0,2661.85,50.88,No
Gen Luna St 3,Proper - 8,Proper - 9,0.0,Inactive,2661.0,2661.85,50.88,No
Ruperto Montinola St 1,Proper - 8,Proper - 10,0.0,Inactive,2661.0,2661.85,50.88,No
Gen Luna St 3 (Rev),Proper - 9,Proper - 8,0.0,Inactive,2661.0,2661.85,50.88,No
Muelle Loney St 1,Proper - 9,Proper - 12,361.92,Active,2661.0,2663.58,154.49,No
Quirino - Lopez Bridge,Proper - 9,lapuz - 2,3555.1,Active,2661.0,2703.08,2524.67,No
Ruperto Montinola St 1 (Rev),Proper - 10,Proper - 8,0.0,Inactive,2661.0,2661.85,50.88,No
