From Node,To Node,Road Name,Baseline Flow,Capacity,V/C Ratio
lapaz - 10,Proper - 7,Bonifacio Drive (Rev),255.14,2200,0.116
lapaz - 10,lapaz - 1,Luna St - Esplanade 5 (Rev),415.58,2200,0.189
lapuz - 1,lapaz - 4,Divinagracia St (Rev),0.0,1100,0.0
lapuz - 1,lapuz - 3,Railroad St,0.0,1100,0.0
lapuz - 2,Proper - 9,Quirino - Lopez Bridge (Rev),3526.46,2200,1.603
lapuz - 2,lapaz - 2,Rizal St - Huervana St (Rev),0.0,2200,0.0
lapuz - 2,lapuz - 4,Rizal St - Ferry Terminal Access Rd,3378.68,2200,1.536
lapuz - 3,lapuz - 1,Railroad St (Rev),0.0,1100,0.0
lapuz - 4,lapuz - 2,Rizal St - Ferry Terminal Access Rd (Rev),3526.46,2200,1.603
lapuz - 4,lapuz - 5,New Iloilo Ferry Terminal Access Rd,0.0,3300,0.0
lapuz - 4,lapuz - 6,Rizal St - Iloilo Airport Direct Rd,555.74,2200,0.253
lapuz - 5,lapuz - 4,New Iloilo Ferry Terminal Access Rd (Rev),0.0,3300,0.0
lapuz - 6,lapuz - 4,Rizal St - Iloilo Airport Direct Rd (Rev),572.96,2200,0.26
lapuz - 6,lapuz - 7,Lapuz Mansaya Loboc Rd,0.0,2200,0.0
lapuz - 6,lapuz - 8,Iloilo Airport Direct Rd,555.74,1100,0.505
lapuz - 7,lapaz - 9,Coastal Rd (Rev),142.04,2200,0.065
lapuz - 7,lapuz - 6,Lapuz Mansaya Loboc Rd (Rev),0.0,2200,0.0
lapuz - 8,lapuz - 6,Iloilo Airport Direct Rd (Rev),572.96,1100,0.521
